city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$)
Salvador,23.8,4,4,1,28,acept,furnished,213.3,1423.97,16.65,17.9,1671.82
Curitiba,30.4,3,4,0,26,acept,furnished,190.86,1219.1,25.79,9.98,1445.73
Porto Alegre,18.0,3,3,2,27,acept,furnished,127.24,1260.14,45.6,14.15,1447.13
Porto Alegre,37.1,5,6,3,0,not acept,not furnished,246.72,1639.86,76.27,16.04,1978.89
Sao Paulo,90.2,2,2,1,0,acept,furnished,642.91,3222.56,121.27,20.85,4007.59
Rio de Janeiro,89.1,4,4,1,0,acept,not furnished,648.76,3318.57,110.4,48.53,4126.26
Sao Paulo,98.2,4,5,1,29,not acept,not furnished,505.4,57712.940785938794,96.41,35.86,4767.09
Salvador,56.7,2,2,1,19,not acept,furnished,226.91,2172.76,40.98,17.86,2458.51
Curitiba,42.7,1,1,1,3,not acept,furnished,182.04,964.48,30.92,13.73,1191.17
Rio de Janeiro,55.5,5,4,2,28,acept,not furnished,319.63,1877.85,55.12,13.13,2265.73
Sao Paulo,187.0,2,2,1,12,not acept,not furnished,639.19,5895.94,220.55,30.35,6786.03
Rio de Janeiro,85.7,1,1,1,23,not acept,not furnished,389.48,3251.5,102.44,28.58,3772.0
Rio de Janeiro,145.5,3,3,1,18,acept,not furnished,608.67,4621.27,123.09,60.58,5413.61
Porto Alegre,26.2,3,4,1,19,acept,not furnished,187.1,1474.39,64.72,7.77,1733.98
Curitiba,18.0,3,2,1,12,acept,not furnished,61.52,400.0,16.72,5.35,483.59
Fortaleza,66.8,4,4,1,10,not acept,not furnished,257.26,1542.11,65.6,11.19,1876.16
Rio de Janeiro,133.5,4,4,0,3,acept,not furnished,702.66,3738.58,51.01,45.36,4537.61
Sao Paulo,95.5,4,5,2,0,not acept,not furnished,257.39,2544.74,40.63,24.33,2867.09
Curitiba,66.2,1,1,0,28,acept,not furnished,219.4,1771.08,31.91,10.81,2033.2
Porto Alegre,26.4,3,3,2,28,acept,not furnished,129.19,760.06,35.26,7.22,931.73
Belo Horizonte,18.0,2,1,2,19,acept,not furnished,65.41,400.0,9.79,2.97,478.17
Porto Alegre,57.4,2,3,0,10,acept,furnished,499.67,2660.26,96.31,21.0,3277.24
Rio de Janeiro,63.3,4,3,2,0,not acept,not furnished,268.21,1624.34,19.0,21.08,1932.63
Belo Horizonte,47.5,2,2,1,12,not acept,not furnished,188.33,2006.88,78.93,27.25,2301.39
Rio de Janeiro,146.0,4,4,0,19,acept,furnished,676.17,4064.04,164.69,43.53,4948.43
Sao Paulo,191.1,1,1,3,7,not acept,not furnished,491.11,5876.31,234.02,80.73,6682.17
Sao Paulo,134.3,4,5,1,9,acept,not furnished,675.77,4583.98,53.81,54.26,5367.82
Sao Paulo,18.0,1,2,1,13,not acept,not furnished,64.15,400.0,5.57,3.07,472.79
Curitiba,18.0,2,3,2,14,not acept,furnished,349.84,1954.21,77.59,26.46,2408.1
Rio de Janeiro,18.0,3,4,0,22,acept,furnished,243.16,1598.98,56.08,9.88,1908.1
Belo Horizonte,75.4,2,2,2,14,not acept,not furnished,322.67,2065.51,50.73,19.41,2458.32
Fortaleza,76.1,3,2,0,25,not acept,furnished,254.88,2594.17,83.46,23.78,2956.29
Sao Paulo,20.4,4,4,1,13,acept,furnished,194.07,28931.637657390846,22.51,22.84,2457.74
Rio de Janeiro,18.0,3,2,0,0,not acept,not furnished,52.08,564.7,15.39,7.04,639.21
Porto Alegre,32.4,2,1,2,2,not acept,not furnished,133.89,1244.47,20.76,7.76,1406.88
Sao Paulo,63.2,2,3,1,21,not acept,not furnished,263.87,1974.5,96.04,24.0,2358.41
Sao Paulo,96.8,2,3,0,12,not acept,not furnished,429.98,3381.91,76.69,32.53,3921.11
Sao Paulo,143.6,3,2,0,13,not acept,not furnished,679.91,5852.45,245.11,44.99,6822.46
Sao Paulo,129.8,3,2,2,30,acept,not furnished,849.69,4553.67,68.7,59.59,5531.65
Fortaleza,56.7,2,1,1,16,acept,furnished,135.86,1500.29,25.81,14.99,1676.95
Salvador,51.3,3,3,2,1,not acept,furnished,256.59,2637.19,100.01,34.19,3027.98
Curitiba,66.1,1,1,1,12,acept,not furnished,279.98,2117.84,86.66,16.12,2500.6
Fortaleza,52.0,3,3,1,16,acept,not furnished,134.62,1408.9,64.74,18.91,1627.17
Salvador,94.1,3,2,2,0,acept,furnished,240.26,2435.03,91.99,15.16,2782.44
Sao Paulo,27.4,2,3,2,9,acept,not furnished,204.97,1045.5,40.05,15.64,1306.16
Fortaleza,39.6,4,3,2,29,acept,not furnished,134.3,964.05,18.61,12.09,1129.05
Belo Horizonte,25.3,3,2,2,22,acept,not furnished,59.68,644.55,30.83,7.47,742.53
Salvador,23.2,3,3,0,10,not acept,not furnished,114.48,1327.46,51.12,11.17,1504.23
Fortaleza,18.0,3,2,0,6,not acept,not furnished,98.81,587.45,10.04,6.75,703.05
Rio de Janeiro,137.4,4,4,0,7,not acept,not furnished,608.9,4826.75,173.56,67.64,5676.85
Sao Paulo,174.1,3,3,3,25,not acept,not furnished,562.69,4929.82,208.95,35.9,5737.36
Sao Paulo,111.0,2,3,1,11,acept,furnished,732.32,4505.43,128.55,39.8,5406.1
Rio de Janeiro,100.6,2,3,0,25,not acept,not furnished,639.13,30545.598288231744,91.69,24.11,4655.81
Salvador,18.0,1,2,1,27,acept,not furnished,175.23,1421.68,63.11,16.02,1676.04
Salvador,63.6,2,3,2,13,not acept,not furnished,484.18,2494.69,110.24,22.49,3111.6
Sao Paulo,97.2,5,5,0,29,acept,not furnished,528.32,4127.78,170.93,54.47,4881.5
Belo Horizonte,56.0,2,1,1,7,acept,not furnished,312.92,2492.35,45.35,15.5,2866.12
Rio de Janeiro,102.9,4,4,0,6,not acept,not furnished,517.83,2987.44,96.79,19.03,3621.09
Sao Paulo,148.8,2,3,3,1,acept,not furnished,929.28,5223.37,144.18,42.96,6339.79
Sao Paulo,77.5,2,1,1,5,acept,not furnished,70.67,617.36,23.4,5.06,716.49
Rio de Janeiro,180.7,5,5,2,23,not acept,furnished,1180.47,7255.98,332.37,87.23,8856.05
Recife,30.8,1,1,2,11,not acept,not furnished,181.42,1157.69,23.01,10.24,1372.36
Rio de Janeiro,93.4,3,3,2,2,acept,not furnished,200.42,2384.87,53.42,25.07,2663.78
Belo Horizonte,51.1,4,3,1,1,not acept,not furnished,241.68,2336.25,45.46,24.6,2647.99
Curitiba,74.7,4,3,1,14,acept,not furnished,168.41,1829.24,73.66,13.43,2084.74
Rio de Janeiro,190.6,4,5,2,15,not acept,not furnished,1042.93,5600.15,167.33,79.72,6890.13
Recife,59.1,4,5,1,24,not acept,not furnished,437.08,2245.06,65.23,15.97,2763.34
Recife,18.0,3,2,2,21,not acept,furnished,76.73,428.64,12.78,5.08,523.23
Sao Paulo,111.3,2,1,2,3,acept,furnished,500.43,4265.11,95.2,41.03,4901.77
Rio de Janeiro,67.2,3,4,2,6,acept,furnished,664.87,3628.91,69.51,38.1,4401.39
Rio de Janeiro,128.0,5,5,0,20,not acept,furnished,404.48,4650.24,195.96,55.66,5306.34
Sao Paulo,162.6,3,2,1,3,not acept,not furnished,815.74,5028.21,176.93,73.36,6094.24
Sao Paulo,131.4,2,2,1,24,not acept,not furnished,463.77,4887.29,189.76,24.5,5565.32
Belo Horizonte,60.0,3,4,3,19,not acept,not furnished,165.97,2036.25,44.73,24.85,2271.8
Belo Horizonte,82.7,3,2,1,15,not acept,not furnished,222.0,2196.93,37.13,14.47,2470.53
Sao Paulo,183.2,2,2,1,19,not acept,not furnished,969.95,4958.6,103.32,63.23,6095.1
Sao Paulo,223.6,3,4,1,0,acept,not furnished,1325.11,7771.64,355.26,107.9,9559.91
Fortaleza,36.2,3,2,2,15,not acept,not furnished,56.87,400.0,9.39,4.15,470.41
Sao Paulo,64.8,3,3,1,12,acept,not furnished,544.07,2827.32,35.51,27.38,3434.28
Sao Paulo,79.1,2,1,2,14,not acept,not furnished,400.57,3082.8,91.23,16.87,3591.47
Rio de Janeiro,86.5,2,2,2,8,not acept,not furnished,349.38,4118.4,95.4,55.48,4618.66
Recife,33.3,3,3,0,13,acept,not furnished,139.85,924.04,26.96,13.08,1103.93
Sao Paulo,153.4,3,2,1,27,not acept,not furnished,882.9,4921.3,184.91,59.96,6049.07
Curitiba,23.7,2,3,1,9,acept,furnished,209.61,1833.45,88.37,13.59,2145.02
Porto Alegre,49.6,2,1,1,0,acept,not furnished,185.3,1569.36,64.59,11.66,1830.91
Sao Paulo,144.0,2,3,1,6,acept,not furnished,1039.62,6473.86,192.83,90.39,7796.7
Porto Alegre,25.1,3,3,1,12,acept,not furnished,319.96,1812.38,74.19,10.0,2216.53
Rio de Janeiro,40.0,5,5,0,15,not acept,not furnished,95.32,721.64,14.13,4.21,835.3
Curitiba,90.3,3,3,2,11,not acept,furnished,285.61,3149.8,135.72,35.07,3606.2
Curitiba,82.4,4,5,1,25,acept,not furnished,546.26,3221.03,103.29,32.32,3902.9
Belo Horizonte,92.6,3,3,1,28,acept,furnished,254.74,1941.83,82.51,10.38,2289.46
Sao Paulo,110.6,3,2,1,13,acept,furnished,749.38,3960.39,130.4,55.07,4895.24
Salvador,18.0,2,2,1,0,not acept,not furnished,199.21,1804.79,41.99,14.65,2060.64
Rio de Janeiro,18.0,3,4,2,11,not acept,not furnished,54.24,400.0,5.74,3.06,463.04
Sao Paulo,178.7,2,3,1,3,not acept,not furnished,940.52,5700.98,163.12,79.14,6883.76
Sao Paulo,135.8,3,2,3,7,acept,furnished,692.21,6326.09,249.78,71.53,7339.61
Belo Horizonte,82.3,2,1,1,25,not acept,furnished,428.53,3996.61,87.36,36.02,4548.52
Curitiba,71.6,1,2,3,15,not acept,not furnished,420.73,2512.82,54.9,23.09,3011.54
Sao Paulo,126.4,2,3,3,25,acept,not furnished,354.26,3487.03,142.09,34.87,4018.25
Belo Horizonte,18.0,4,3,1,30,not acept,furnished,146.77,1556.41,27.19,15.09,1745.46
Sao Paulo,101.6,2,1,1,15,acept,not furnished,426.08,3835.99,100.79,22.21,4385.07
Curitiba,175.7,2,1,0,28,acept,not furnished,1013.07,5677.38,197.19,81.75,6969.39
Sao Paulo,66.4,4,3,2,20,acept,not furnished,562.58,3063.19,75.94,20.82,3722.53
Curitiba,18.0,3,4,2,1,acept,not furnished,38.83,419.71,20.39,2.41,481.34
Rio de Janeiro,124.9,1,1,1,11,not acept,not furnished,314.18,3372.41,157.76,19.54,3863.89
Fortaleza,72.7,1,2,1,19,not acept,not furnished,430.43,2385.18,114.39,26.85,2956.85
Sao Paulo,97.3,2,1,2,21,acept,not furnished,622.78,3218.3,158.63,44.42,4044.13
Rio de Janeiro,103.6,3,4,1,26,acept,not furnished,333.33,2422.04,118.53,28.52,2902.42
Sao Paulo,97.1,3,2,1,18,acept,not furnished,629.24,3459.46,78.34,29.48,4196.52
Fortaleza,18.0,2,3,0,0,not acept,furnished,80.6,431.66,13.43,4.46,530.15
Fortaleza,41.1,4,3,2,2,acept,furnished,334.03,2709.31,112.03,20.71,3176.08
Sao Paulo,85.8,1,1,2,8,not acept,furnished,416.86,2965.83,115.03,18.02,3515.74
Curitiba,44.7,2,3,1,7,not acept,furnished,136.52,919.08,18.83,5.43,1079.86
Salvador,32.3,5,4,0,5,not acept,furnished,282.58,1633.56,40.08,19.41,1975.63
Belo Horizonte,38.7,1,1,0,18,acept,not furnished,147.07,1088.51,51.72,10.03,1297.33
Belo Horizonte,138.9,4,3,1,11,acept,not furnished,607.77,4313.88,204.21,48.66,5174.52
Sao Paulo,86.8,3,2,0,20,not acept,not furnished,199.61,2244.29,87.61,26.36,2557.87
Sao Paulo,119.8,1,1,1,10,not acept,furnished,332.86,3848.12,39.48,56.08,4276.54
Fortaleza,18.0,3,3,2,6,not acept,furnished,426.34,2526.3,77.43,21.65,3051.72
Fortaleza,44.5,3,4,0,16,not acept,not furnished,123.69,897.14,16.5,6.27,1043.6
Curitiba,49.6,4,4,1,0,not acept,furnished,256.59,2827.22,115.89,17.79,3217.49
Rio de Janeiro,26.2,2,2,1,30,not acept,not furnished,244.99,2249.62,29.8,11.67,2536.08
Rio de Janeiro,131.9,2,2,0,19,not acept,not furnished,494.72,3067.44,129.79,20.02,3711.97
Porto Alegre,120.5,1,2,1,1,not acept,not furnished,377.32,14651.531950058692,59.69,31.99,3153.19
Fortaleza,83.9,3,2,1,18,not acept,not furnished,388.8,2217.68,55.14,20.61,2682.23
Fortaleza,92.7,2,2,1,0,acept,not furnished,379.33,2981.86,112.6,41.0,3514.79
Porto Alegre,73.2,1,1,0,14,acept,not furnished,172.69,1840.86,35.29,9.44,2058.28
Curitiba,97.7,5,5,1,7,acept,not furnished,420.84,3753.84,164.0,53.72,4392.4
Sao Paulo,74.2,2,2,1,21,acept,furnished,262.02,14594.05033539944,132.72,15.51,3221.82
Sao Paulo,167.3,1,1,1,13,not acept,not furnished,729.13,5296.7,262.33,78.45,6366.61
Fortaleza,55.5,3,3,0,23,not acept,not furnished,82.56,603.08,22.74,3.64,712.02
Belo Horizonte,38.2,4,4,1,5,acept,furnished,165.44,1861.3,60.37,13.16,2100.27
Sao Paulo,116.1,1,1,1,19,not acept,furnished,247.86,33160.60892160792,109.87,29.45,2794.07
Sao Paulo,104.0,1,2,2,20,not acept,furnished,949.96,4837.26,103.23,42.94,5933.39
Curitiba,105.8,1,1,1,13,not acept,furnished,686.29,3465.79,108.52,49.71,4310.31
Sao Paulo,115.7,1,1,0,26,not acept,not furnished,419.32,3462.09,64.69,21.21,3967.31
Sao Paulo,56.3,3,4,2,2,not acept,not furnished,225.33,2314.47,53.31,28.56,2621.67
Belo Horizonte,18.0,3,3,1,22,not acept,furnished,49.61,483.51,18.42,5.04,556.58
Curitiba,150.2,3,4,0,2,acept,furnished,411.16,4580.1,63.64,62.2,5117.1
Curitiba,100.9,3,4,0,2,not acept,not furnished,213.53,2365.79,69.64,14.49,2663.45
Sao Paulo,95.5,4,5,1,4,not acept,furnished,429.57,4164.19,181.79,58.44,4833.99
Curitiba,64.8,3,2,1,19,not acept,furnished,371.31,2721.12,81.19,14.58,3188.2
Sao Paulo,120.4,4,5,2,18,acept,not furnished,564.94,3412.65,67.02,47.17,4091.78
Rio de Janeiro,112.1,3,3,2,12,not acept,not furnished,338.97,3425.2,82.95,49.84,3896.96
Porto Alegre,90.0,3,4,2,8,acept,not furnished,374.06,2876.67,95.39,17.17,3363.29
Curitiba,18.0,2,1,1,18,not acept,not furnished,120.03,1329.73,46.41,11.48,1507.65
Salvador,51.2,2,1,1,2,not acept,not furnished,295.52,1911.59,19.74,26.07,2252.92
Curitiba,67.9,4,4,0,18,acept,furnished,365.89,2778.54,47.69,23.49,3215.61
Belo Horizonte,99.8,1,2,1,0,not acept,not furnished,778.51,4425.22,166.7,32.64,5403.07
Sao Paulo,18.1,3,3,1,2,not acept,not furnished,74.33,400.0,5.33,2.77,482.43
Rio de Janeiro,81.6,3,4,2,21,not acept,not furnished,287.79,16436.74253743468,116.06,29.89,3069.11
Sao Paulo,164.3,3,3,2,26,not acept,not furnished,621.46,4850.99,107.78,32.56,5612.79
Sao Paulo,19.9,3,3,2,0,acept,not furnished,151.83,1086.99,45.12,6.97,1290.91
Recife,72.8,2,2,1,18,not acept,furnished,472.82,2369.34,103.46,15.53,2961.15
Rio de Janeiro,204.5,2,1,1,0,acept,furnished,1473.06,7757.66,368.76,90.56,9690.04
Fortaleza,26.8,4,3,1,26,not acept,not furnished,306.41,1560.25,59.84,20.67,1947.17
Curitiba,37.7,2,3,2,10,not acept,furnished,258.26,1903.34,84.64,25.76,2272.0
Porto Alegre,78.2,3,2,0,22,acept,not furnished,511.26,2556.95,53.47,32.33,3154.01
Belo Horizonte,18.0,1,1,1,3,acept,not furnished,76.21,908.72,9.66,7.61,1002.2
Belo Horizonte,89.6,2,1,0,26,acept,furnished,604.21,3080.64,114.54,17.18,3816.57
Rio de Janeiro,123.5,2,1,3,11,not acept,not furnished,417.81,4052.97,82.04,47.46,4600.28
Sao Paulo,196.9,3,4,2,4,acept,furnished,1423.61,7209.73,288.32,95.64,9017.3
Porto Alegre,29.5,2,2,2,16,not acept,not furnished,225.01,1671.88,41.81,20.93,1959.63
Sao Paulo,72.6,1,1,3,7,not acept,not furnished,635.42,4249.3,173.05,57.44,5115.21
Sao Paulo,95.0,2,1,1,7,acept,not furnished,655.12,3468.28,140.37,38.39,4302.16
Curitiba,18.0,2,3,2,1,not acept,furnished,209.28,,29.22,14.01,1308.88
Sao Paulo,154.8,2,3,1,4,not acept,not furnished,528.86,5257.38,233.32,56.23,6075.79
Recife,56.8,2,2,1,24,not acept,furnished,331.37,2164.67,62.28,11.2,2569.52
Recife,75.3,3,4,1,15,not acept,not furnished,288.22,1766.69,85.43,12.99,2153.33
Fortaleza,19.0,2,2,0,9,not acept,not furnished,278.22,1686.4,19.55,17.17,2001.34
Rio de Janeiro,168.7,2,2,2,28,acept,furnished,682.05,6481.49,205.34,40.61,7409.49
Sao Paulo,53.2,5,4,0,24,acept,furnished,281.69,3186.43,34.23,35.63,3537.98
Fortaleza,51.3,2,1,2,8,not acept,not furnished,234.92,1877.14,42.45,10.08,2164.59
Rio de Janeiro,152.0,4,3,2,1,not acept,not furnished,986.54,5561.22,158.37,51.38,6757.51
Recife,49.3,2,1,1,3,acept,furnished,251.22,1278.64,21.52,15.54,1566.92
Recife,71.0,2,1,0,20,not acept,not furnished,315.54,2366.2,100.72,15.75,2798.21
Salvador,65.2,2,2,1,16,acept,furnished,528.83,2787.66,74.63,30.06,3421.18
Sao Paulo,143.9,3,2,0,30,acept,furnished,804.65,4827.61,76.17,48.45,5756.88
Rio de Janeiro,114.8,3,2,0,0,acept,not furnished,389.63,4137.98,89.67,51.41,4668.69
Salvador,33.1,2,1,2,26,acept,not furnished,341.8,2814.27,43.21,37.45,3236.73
Rio de Janeiro,145.3,3,3,1,0,not acept,not furnished,1063.05,6278.11,199.22,58.65,7599.03
Sao Paulo,75.5,3,4,0,11,not acept,not furnished,357.06,2671.23,76.67,39.83,3144.79
Belo Horizonte,76.4,1,2,0,28,acept,furnished,350.68,2209.4,40.75,13.79,2614.62
Fortaleza,29.8,3,2,2,19,not acept,not furnished,147.11,859.51,42.0,12.19,1060.81
Curitiba,55.1,3,4,1,17,not acept,not furnished,340.43,1721.79,62.65,16.84,2141.71
Belo Horizonte,60.2,2,2,2,8,not acept,not furnished,388.3,2041.7,46.54,27.96,2504.5
Sao Paulo,70.1,1,1,1,29,not acept,not furnished,340.9,2810.14,69.49,35.87,3256.4
Belo Horizonte,86.3,4,4,1,3,acept,not furnished,415.88,2358.55,112.5,23.76,2910.69
Recife,18.9,5,5,1,6,not acept,not furnished,158.27,1269.24,42.03,13.93,1483.47
Sao Paulo,139.5,1,1,2,12,acept,not furnished,772.68,4904.23,71.0,38.22,5786.13
Belo Horizonte,63.2,4,4,0,1,acept,not furnished,248.85,2847.45,120.33,30.63,3247.26
Fortaleza,18.0,2,1,2,11,acept,furnished,78.7,452.04,20.41,4.44,555.59
Porto Alegre,37.0,4,4,2,0,acept,not furnished,268.29,1348.6,48.56,10.12,1675.57
Curitiba,62.3,3,4,0,28,not acept,furnished,279.62,1932.77,22.99,14.5,2249.88
Curitiba,60.5,4,5,0,8,not acept,not furnished,386.08,2011.85,43.88,14.94,2456.75
Rio de Janeiro,102.1,3,4,2,18,not acept,not furnished,634.8,,135.02,40.37,4246.64
Sao Paulo,117.5,1,1,2,26,not acept,furnished,365.43,4490.14,90.33,41.76,4987.66
Salvador,62.4,1,1,1,24,not acept,not furnished,109.2,1203.26,33.16,15.81,1361.43
Salvador,20.1,3,4,1,26,acept,not furnished,214.77,1622.6,34.58,18.58,1890.53
Salvador,38.4,1,1,1,21,not acept,not furnished,216.9,1941.06,27.31,18.42,2203.69
Fortaleza,103.2,3,4,2,4,not acept,not furnished,265.0,2065.73,58.15,23.89,2412.77
Belo Horizonte,46.4,5,6,1,9,not acept,furnished,207.16,1466.41,51.47,19.51,1744.55
Belo Horizonte,23.9,2,2,2,14,acept,not furnished,71.41,520.04,11.22,7.24,609.91
Porto Alegre,23.1,3,4,0,8,acept,not furnished,124.06,1247.14,23.78,11.08,1406.06
